"","analytename","SiteYear","stationcode","objectid","sampledate","sampletypecode","matrixname","fieldreplicate","labreplicate","methodname","fractionname","unit","result","resqualcode","mdl","rl","dilutionfactor","qacode","labresultcomments","labagencycode","projectcode","record_origin","origin_lastupdatedate","record_publish","originalid","masterid","huc","smcshed","smc_lu","latitude","longitude","probabilistic","SiteDate","Year","OCresult","OrgNorm","RLOC","Class","TEB","LEB","Assessment","RLOC_Eval","TEBq","LEBq","AssessNumeric"
"708","Permethrin","404S13672_2011","404S13672",66563,2011-06-08,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.00101,0.00203,1,"None",NA,"DFG-WPCL","RWB4_SMC_2011","SWAMP",2012-07-12 00:00:00,"true",NA,"404S13672",404,"Santa Monica Bay","Open",34.0754,-118.70292,"true","404S13672_2011-06-08",2011,0.005,0,0.41,"PYR",0.42,9.3,"Unlikely_ND","GoodRL",0,0,6
"64","Bifenthrin","404S14952_2011","404S14952",103515,2011-06-15,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",0.0147,"=",0.000647,0.00129,1,"None",NA,"DFG-WPCL","RWB4_SMC_2011","SWAMP",2012-07-12 00:00:00,"true",NA,"404S14952",404,"Santa Monica Bay","Urban",34.14268,-118.70089,"true","404S14952_2011-06-15",2011,0.0618,0.24,0.02,"PYR",0.17,0.6,"Possible","GoodRL",1.41176470588235,0.4,3
"241","Cyfluthrin","404S14952_2011","404S14952",66613,2011-06-15,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.000517,0.00103,1,"None",NA,"DFG-WPCL","RWB4_SMC_2011","SWAMP",2012-07-12 00:00:00,"true",NA,"404S14952",404,"Santa Monica Bay","Urban",34.14268,-118.70089,"true","404S14952_2011-06-15",2011,0.0618,0,0.017,"PYR",0.046,0.46,"Unlikely_ND","GoodRL",0,0,6
"304","Cypermethrin","404S14952_2011","404S14952",103516,2011-06-15,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.000776,0.00155,1,"None",NA,"DFG-WPCL","RWB4_SMC_2011","SWAMP",2012-07-12 00:00:00,"true",NA,"404S14952",404,"Santa Monica Bay","Urban",34.14268,-118.70089,"true","404S14952_2011-06-15",2011,0.0618,0,0.025,"PYR",0.049,0.49,"Unlikely_ND","GoodRL",0,0,6
"407","Deltamethrin","404S14952_2011","404S14952",66615,2011-06-15,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.000517,0.00103,1,"None",NA,"DFG-WPCL","RWB4_SMC_2011","SWAMP",2012-07-12 00:00:00,"true",NA,"404S14952",404,"Santa Monica Bay","Urban",34.14268,-118.70089,"true","404S14952_2011-06-15",2011,0.0618,0,0.02,"PYR",0.02,0.2,"Unlikely_ND","GoodRL",0,0,6
"484","Esfenvalerate","404S14952_2011","404S14952",103517,2011-06-15,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.000517,0.00103,1,"None",NA,"DFG-WPCL","RWB4_SMC_2011","SWAMP",2012-07-12 00:00:00,"true",NA,"404S14952",404,"Santa Monica Bay","Urban",34.14268,-118.70089,"true","404S14952_2011-06-15",2011,0.0618,0,0.017,"PYR",0.055,0.55,"Unlikely_ND","GoodRL",0,0,6
"603","Fenpropathrin","404S14952_2011","404S14952",103518,2011-06-15,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.00207,0.00414,1,"None",NA,"DFG-WPCL","RWB4_SMC_2011","SWAMP",2012-07-12 00:00:00,"true",NA,"404S14952",404,"Santa Monica Bay","Urban",34.14268,-118.70089,"true","404S14952_2011-06-15",2011,0.0618,0,0.07,"PYR",0.11,1.1,"Unlikely_ND","GoodRL",0,0,6
"709","Permethrin","404S14952_2011","404S14952",66616,2011-06-15,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.00181,0.00362,1,"None",NA,"DFG-WPCL","RWB4_SMC_2011","SWAMP",2012-07-12 00:00:00,"true",NA,"404S14952",404,"Santa Monica Bay","Urban",34.14268,-118.70089,"true","404S14952_2011-06-15",2011,0.0618,0,0.06,"PYR",0.42,9.3,"Unlikely_ND","GoodRL",0,0,6
"65","Bifenthrin","404S16232_2011","404S16232",103591,2011-06-09,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",0.0012,"=",0.000334,0.000668,1,"None",NA,"DFG-WPCL","RWB4_SMC_2011","SWAMP",2012-07-12 00:00:00,"true",NA,"404S16232",404,"Santa Monica Bay","Urban",34.12549,-118.75317,"true","404S16232_2011-06-09",2011,0.0039,0.31,0.17,"PYR",0.17,0.6,"Possible","GoodRL",1.82352941176471,0.516666666666667,3
"242","Cyfluthrin","404S16232_2011","404S16232",103592,2011-06-09,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.000267,0.000534,1,"None",NA,"DFG-WPCL","RWB4_SMC_2011","SWAMP",2012-07-12 00:00:00,"true",NA,"404S16232",404,"Santa Monica Bay","Urban",34.12549,-118.75317,"true","404S16232_2011-06-09",2011,0.0039,0,0.137,"PYR",0.046,0.46,"Possible or Unlikely","Poor RL",0,0,4
"305","Cypermethrin","404S16232_2011","404S16232",66672,2011-06-09,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.000401,0.000802,1,"None",NA,"DFG-WPCL","RWB4_SMC_2011","SWAMP",2012-07-12 00:00:00,"true",NA,"404S16232",404,"Santa Monica Bay","Urban",34.12549,-118.75317,"true","404S16232_2011-06-09",2011,0.0039,0,0.206,"PYR",0.049,0.49,"Possible or Unlikely","Poor RL",0,0,4
"381","Deltamethrin","404S16232_2011","404S16232",103594,2011-06-09,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.000267,0.000534,1,"None",NA,"DFG-WPCL","RWB4_SMC_2011","SWAMP",2012-07-12 00:00:00,"true",NA,"404S16232",404,"Santa Monica Bay","Urban",34.12549,-118.75317,"true","404S16232_2011-06-09",2011,0.0039,0,0.14,"PYR",0.02,0.2,"Possible or Unlikely","Poor RL",0,0,4
"512","Esfenvalerate","404S16232_2011","404S16232",66673,2011-06-09,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.000267,0.000534,1,"None",NA,"DFG-WPCL","RWB4_SMC_2011","SWAMP",2012-07-12 00:00:00,"true",NA,"404S16232",404,"Santa Monica Bay","Urban",34.12549,-118.75317,"true","404S16232_2011-06-09",2011,0.0039,0,0.137,"PYR",0.055,0.55,"Possible or Unlikely","Poor RL",0,0,4
"604","Fenpropathrin","404S16232_2011","404S16232",66674,2011-06-09,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.00107,0.00214,1,"None",NA,"DFG-WPCL","RWB4_SMC_2011","SWAMP",2012-07-12 00:00:00,"true",NA,"404S16232",404,"Santa Monica Bay","Urban",34.12549,-118.75317,"true","404S16232_2011-06-09",2011,0.0039,0,0.55,"PYR",0.11,1.1,"Possible or Unlikely","Poor RL",0,0,4
"710","Permethrin","404S16232_2011","404S16232",103595,2011-06-09,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.000935,0.00187,1,"None",NA,"DFG-WPCL","RWB4_SMC_2011","SWAMP",2012-07-12 00:00:00,"true",NA,"404S16232",404,"Santa Monica Bay","Urban",34.12549,-118.75317,"true","404S16232_2011-06-09",2011,0.0039,0,0.48,"PYR",0.42,9.3,"Possible or Unlikely","Poor RL",0,0,4
"243","Cyfluthrin","404S17016_2013","404S17016",103664,2013-06-05,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.000101,0.000976,1,"None",NA,"DFG-WPCL","RWB4_SMC_2013","SWAMP",2016-04-07 00:00:00,"true",NA,"404S17016",404,"Santa Monica Bay","Open",34.1183,-118.78057,"true","404S17016_2013-06-05",2013,0.0174,0,0.056,"PYR",0.046,0.46,"Possible or Unlikely","Poor RL",0,0,4
"306","Cypermethrin","404S17016_2013","404S17016",66755,2013-06-05,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.000102,0.000976,1,"None",NA,"DFG-WPCL","RWB4_SMC_2013","SWAMP",2016-04-07 00:00:00,"true",NA,"404S17016",404,"Santa Monica Bay","Open",34.1183,-118.78057,"true","404S17016_2013-06-05",2013,0.0174,0,0.056,"PYR",0.049,0.49,"Possible or Unlikely","Poor RL",0,0,4
"373","Deltamethrin","404S17016_2013","404S17016",66756,2013-06-05,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.000173,0.000781,1,"None",NA,"DFG-WPCL","RWB4_SMC_2013","SWAMP",2016-04-07 00:00:00,"true",NA,"404S17016",404,"Santa Monica Bay","Open",34.1183,-118.78057,"true","404S17016_2013-06-05",2013,0.0174,0,0.04,"PYR",0.02,0.2,"Possible or Unlikely","Poor RL",0,0,4
"66","Bifenthrin","404S17016_2013","404S17016",103663,2013-06-05,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",0.000109,"DNQ",4.9e-05,0.000195,1,"None",NA,"DFG-WPCL","RWB4_SMC_2013","SWAMP",2016-04-07 00:00:00,"true",NA,"404S17016",404,"Santa Monica Bay","Open",34.1183,-118.78057,"true","404S17016_2013-06-05",2013,0.0174,0.01,0.01,"PYR",0.17,0.6,"Unlikely (<TEB)","GoodRL",0.0588235294117647,0.0166666666666667,5
"513","Esfenvalerate","404S17016_2013","404S17016",103666,2013-06-05,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.000102,0.000391,1,"None",NA,"DFG-WPCL","RWB4_SMC_2013","SWAMP",2016-04-07 00:00:00,"true",NA,"404S17016",404,"Santa Monica Bay","Open",34.1183,-118.78057,"true","404S17016_2013-06-05",2013,0.0174,0,0.022,"PYR",0.055,0.55,"Unlikely_ND","GoodRL",0,0,6
"605","Fenpropathrin","404S17016_2013","404S17016",66757,2013-06-05,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",3.4e-05,0.000195,1,"None",NA,"DFG-WPCL","RWB4_SMC_2013","SWAMP",2016-04-07 00:00:00,"true",NA,"404S17016",404,"Santa Monica Bay","Open",34.1183,-118.78057,"true","404S17016_2013-06-05",2013,0.0174,0,0.01,"PYR",0.11,1.1,"Unlikely_ND","GoodRL",0,0,6
"711","Permethrin","404S17016_2013","404S17016",66758,2013-06-05,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.000378,0.000976,1,"None",NA,"DFG-WPCL","RWB4_SMC_2013","SWAMP",2016-04-07 00:00:00,"true",NA,"404S17016",404,"Santa Monica Bay","Open",34.1183,-118.78057,"true","404S17016_2013-06-05",2013,0.0174,0,0.06,"PYR",0.42,9.3,"Unlikely_ND","GoodRL",0,0,6
"67","Bifenthrin","404S18666_2011","404S18666",66875,2011-06-15,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",0.00597,"=",0.000327,0.000653,1,"None",NA,"DFG-WPCL","RWB4_SMC_2011","SWAMP",2012-07-12 00:00:00,"true",NA,"404S18666",404,"Santa Monica Bay","Urban",34.17206,-118.76375,"true","404S18666_2011-06-15",2011,0.004,1.49,0.16,"PYR",0.17,0.6,"Likely","GoodRL",8.76470588235294,2.48333333333333,1
"244","Cyfluthrin","404S18666_2011","404S18666",66876,2011-06-15,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.000261,0.000522,1,"None",NA,"DFG-WPCL","RWB4_SMC_2011","SWAMP",2012-07-12 00:00:00,"true",NA,"404S18666",404,"Santa Monica Bay","Urban",34.17206,-118.76375,"true","404S18666_2011-06-15",2011,0.004,0,0.13,"PYR",0.046,0.46,"Possible or Unlikely","Poor RL",0,0,4
"307","Cypermethrin","404S18666_2011","404S18666",66878,2011-06-15,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.000392,0.00078,1,"None",NA,"DFG-WPCL","RWB4_SMC_2011","SWAMP",2012-07-12 00:00:00,"true",NA,"404S18666",404,"Santa Monica Bay","Urban",34.17206,-118.76375,"true","404S18666_2011-06-15",2011,0.004,0,0.195,"PYR",0.049,0.49,"Possible or Unlikely","Poor RL",0,0,4
"374","Deltamethrin","404S18666_2011","404S18666",66879,2011-06-15,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.000261,0.000522,1,"None",NA,"DFG-WPCL","RWB4_SMC_2011","SWAMP",2012-07-12 00:00:00,"true",NA,"404S18666",404,"Santa Monica Bay","Urban",34.17206,-118.76375,"true","404S18666_2011-06-15",2011,0.004,0,0.13,"PYR",0.02,0.2,"Possible or Unlikely","Poor RL",0,0,4
"514","Esfenvalerate","404S18666_2011","404S18666",103800,2011-06-15,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.000261,0.000522,1,"None",NA,"DFG-WPCL","RWB4_SMC_2011","SWAMP",2012-07-12 00:00:00,"true",NA,"404S18666",404,"Santa Monica Bay","Urban",34.17206,-118.76375,"true","404S18666_2011-06-15",2011,0.004,0,0.13,"PYR",0.055,0.55,"Possible or Unlikely","Poor RL",0,0,4
"606","Fenpropathrin","404S18666_2011","404S18666",103801,2011-06-15,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.00104,0.00209,1,"None",NA,"DFG-WPCL","RWB4_SMC_2011","SWAMP",2012-07-12 00:00:00,"true",NA,"404S18666",404,"Santa Monica Bay","Urban",34.17206,-118.76375,"true","404S18666_2011-06-15",2011,0.004,0,0.52,"PYR",0.11,1.1,"Possible or Unlikely","Poor RL",0,0,4
"712","Permethrin","404S18666_2011","404S18666",66881,2011-06-15,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.00091,0.00183,1,"None",NA,"DFG-WPCL","RWB4_SMC_2011","SWAMP",2012-07-12 00:00:00,"true",NA,"404S18666",404,"Santa Monica Bay","Urban",34.17206,-118.76375,"true","404S18666_2011-06-15",2011,0.004,0,0.46,"PYR",0.42,9.3,"Possible or Unlikely","Poor RL",0,0,4
"245","Cyfluthrin","404S23297_2013","404S23297",66964,2013-06-19,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.000181,0.00175,1,"PG",NA,"DFG-WPCL","RWB4_SMC_2013","SWAMP",2016-04-07 00:00:00,"true",NA,"404S23297",404,"Santa Monica Bay","Open",34.05006,-118.58103,"true","404S23297_2013-06-19",2013,0.01,0,0.175,"PYR",0.046,0.46,"Possible or Unlikely","Poor RL",0,0,4
"308","Cypermethrin","404S23297_2013","404S23297",103869,2013-06-19,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.000183,0.00175,1,"PG",NA,"DFG-WPCL","RWB4_SMC_2013","SWAMP",2016-04-07 00:00:00,"true",NA,"404S23297",404,"Santa Monica Bay","Open",34.05006,-118.58103,"true","404S23297_2013-06-19",2013,0.01,0,0.175,"PYR",0.049,0.49,"Possible or Unlikely","Poor RL",0,0,4
"375","Deltamethrin","404S23297_2013","404S23297",66966,2013-06-19,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.000311,0.0014,1,"PG",NA,"DFG-WPCL","RWB4_SMC_2013","SWAMP",2016-04-07 00:00:00,"true",NA,"404S23297",404,"Santa Monica Bay","Open",34.05006,-118.58103,"true","404S23297_2013-06-19",2013,0.01,0,0.14,"PYR",0.02,0.2,"Possible or Unlikely","Poor RL",0,0,4
"515","Esfenvalerate","404S23297_2013","404S23297",103871,2013-06-19,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.000183,7e-04,1,"PG",NA,"DFG-WPCL","RWB4_SMC_2013","SWAMP",2016-04-07 00:00:00,"true",NA,"404S23297",404,"Santa Monica Bay","Open",34.05006,-118.58103,"true","404S23297_2013-06-19",2013,0.01,0,0.07,"PYR",0.055,0.55,"Possible or Unlikely","Poor RL",0,0,4
"68","Bifenthrin","404S23297_2013","404S23297",103868,2013-06-19,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",8.8e-05,0.00035,1,"None",NA,"DFG-WPCL","RWB4_SMC_2013","SWAMP",2016-04-07 00:00:00,"true",NA,"404S23297",404,"Santa Monica Bay","Open",34.05006,-118.58103,"true","404S23297_2013-06-19",2013,0.01,0,0.03,"PYR",0.17,0.6,"Unlikely_ND","GoodRL",0,0,6
"607","Fenpropathrin","404S23297_2013","404S23297",103872,2013-06-19,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",6.1e-05,0.00035,1,"None",NA,"DFG-WPCL","RWB4_SMC_2013","SWAMP",2016-04-07 00:00:00,"true",NA,"404S23297",404,"Santa Monica Bay","Open",34.05006,-118.58103,"true","404S23297_2013-06-19",2013,0.01,0,0.03,"PYR",0.11,1.1,"Unlikely_ND","GoodRL",0,0,6
"713","Permethrin","404S23297_2013","404S23297",103874,2013-06-19,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.000677,0.00175,1,"PG",NA,"DFG-WPCL","RWB4_SMC_2013","SWAMP",2016-04-07 00:00:00,"true",NA,"404S23297",404,"Santa Monica Bay","Open",34.05006,-118.58103,"true","404S23297_2013-06-19",2013,0.01,0,0.18,"PYR",0.42,9.3,"Unlikely_ND","GoodRL",0,0,6
"413","Deltamethrin","404S25298_2012","404S25298",103948,2012-06-20,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.000294,0.00132,1,"H,PJM",NA,"DFG-WPCL","RWB4_SMC_2012","SWAMP",2014-08-09 00:00:00,"true",NA,"404S25298",404,"Santa Monica Bay","Open",34.04553,-118.68732,"true","404S25298_2012-06-20",2012,0.0368,0,0.04,"PYR",0.02,0.2,"Possible or Unlikely","Poor RL",0,0,4
"69","Bifenthrin","404S25298_2012","404S25298",103947,2012-06-20,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",0.000334,"=",8.3e-05,0.000331,1,"H,PJM",NA,"DFG-WPCL","RWB4_SMC_2012","SWAMP",2014-08-09 00:00:00,"true",NA,"404S25298",404,"Santa Monica Bay","Open",34.04553,-118.68732,"true","404S25298_2012-06-20",2012,0.0368,0.01,0.01,"PYR",0.17,0.6,"Unlikely (<TEB)","GoodRL",0.0588235294117647,0.0166666666666667,5
"246","Cyfluthrin","404S25298_2012","404S25298",67034,2012-06-20,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.000171,0.00165,1,"H,PJM",NA,"DFG-WPCL","RWB4_SMC_2012","SWAMP",2014-08-09 00:00:00,"true",NA,"404S25298",404,"Santa Monica Bay","Open",34.04553,-118.68732,"true","404S25298_2012-06-20",2012,0.0368,0,0.045,"PYR",0.046,0.46,"Unlikely_ND","GoodRL",0,0,6
"309","Cypermethrin","404S25298_2012","404S25298",67036,2012-06-20,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.000173,0.00165,1,"H,PJM",NA,"DFG-WPCL","RWB4_SMC_2012","SWAMP",2014-08-09 00:00:00,"true",NA,"404S25298",404,"Santa Monica Bay","Open",34.04553,-118.68732,"true","404S25298_2012-06-20",2012,0.0368,0,0.045,"PYR",0.049,0.49,"Unlikely_ND","GoodRL",0,0,6
"516","Esfenvalerate","404S25298_2012","404S25298",67038,2012-06-20,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.000173,0.000661,1,"H,PJM",NA,"DFG-WPCL","RWB4_SMC_2012","SWAMP",2014-08-09 00:00:00,"true",NA,"404S25298",404,"Santa Monica Bay","Open",34.04553,-118.68732,"true","404S25298_2012-06-20",2012,0.0368,0,0.018,"PYR",0.055,0.55,"Unlikely_ND","GoodRL",0,0,6
"608","Fenpropathrin","404S25298_2012","404S25298",67039,2012-06-20,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",5.8e-05,0.000331,1,"H,PJM",NA,"DFG-WPCL","RWB4_SMC_2012","SWAMP",2014-08-09 00:00:00,"true",NA,"404S25298",404,"Santa Monica Bay","Open",34.04553,-118.68732,"true","404S25298_2012-06-20",2012,0.0368,0,0.01,"PYR",0.11,1.1,"Unlikely_ND","GoodRL",0,0,6
"714","Permethrin","404S25298_2012","404S25298",103949,2012-06-20,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.00064,0.00165,1,"H,PJM",NA,"DFG-WPCL","RWB4_SMC_2012","SWAMP",2014-08-09 00:00:00,"true",NA,"404S25298",404,"Santa Monica Bay","Open",34.04553,-118.68732,"true","404S25298_2012-06-20",2012,0.0368,0,0.04,"PYR",0.42,9.3,"Unlikely_ND","GoodRL",0,0,6
"70","Bifenthrin","404S26670_2012","404S26670",67135,2012-06-18,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",0.0195,"=",9.3e-05,0.000369,1,"H,PJM",NA,"DFG-WPCL","RWB4_SMC_2012","SWAMP",2014-08-09 00:00:00,"true",NA,"404S26670",404,"Santa Monica Bay","Urban",34.16385,-118.76205,"true","404S26670_2012-06-18",2012,0.0235,0.83,0.02,"PYR",0.17,0.6,"Likely","GoodRL",4.88235294117647,1.38333333333333,1
"206","Cyfluthrin","404S26670_2012","404S26670",67136,2012-06-18,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",0.00711,"=",0.00019,0.00184,1,"H,PJM",NA,"DFG-WPCL","RWB4_SMC_2012","SWAMP",2014-08-09 00:00:00,"true",NA,"404S26670",404,"Santa Monica Bay","Urban",34.16385,-118.76205,"true","404S26670_2012-06-18",2012,0.0235,0.303,0.078,"PYR",0.046,0.46,"Possible","Poor RL",6.58695652173913,0.658695652173913,3
"414","Deltamethrin","404S26670_2012","404S26670",104032,2012-06-18,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",0.00102,"DNQ",0.000327,0.00147,1,"H,PJM",NA,"DFG-WPCL","RWB4_SMC_2012","SWAMP",2014-08-09 00:00:00,"true",NA,"404S26670",404,"Santa Monica Bay","Urban",34.16385,-118.76205,"true","404S26670_2012-06-18",2012,0.0235,0.04,0.06,"PYR",0.02,0.2,"Possible","Poor RL",2,0.2,3
"351","Cypermethrin","404S26670_2012","404S26670",104031,2012-06-18,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",0.000834,"DNQ",0.000193,0.00184,1,"H,PJM",NA,"DFG-WPCL","RWB4_SMC_2012","SWAMP",2014-08-09 00:00:00,"true",NA,"404S26670",404,"Santa Monica Bay","Urban",34.16385,-118.76205,"true","404S26670_2012-06-18",2012,0.0235,0.035,0.078,"PYR",0.049,0.49,"Unlikely (<TEB)","Poor RL",0.714285714285714,0.0714285714285714,5
"715","Permethrin","404S26670_2012","404S26670",67139,2012-06-18,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",0.0029,"=",0.000713,0.00184,1,"H,PJM",NA,"DFG-WPCL","RWB4_SMC_2012","SWAMP",2014-08-09 00:00:00,"true",NA,"404S26670",404,"Santa Monica Bay","Urban",34.16385,-118.76205,"true","404S26670_2012-06-18",2012,0.0235,0.12,0.08,"PYR",0.42,9.3,"Unlikely (<TEB)","GoodRL",0.285714285714286,0.0129032258064516,5
"517","Esfenvalerate","404S26670_2012","404S26670",104034,2012-06-18,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.000192,0.000737,1,"H,PJM",NA,"DFG-WPCL","RWB4_SMC_2012","SWAMP",2014-08-09 00:00:00,"true",NA,"404S26670",404,"Santa Monica Bay","Urban",34.16385,-118.76205,"true","404S26670_2012-06-18",2012,0.0235,0,0.031,"PYR",0.055,0.55,"Unlikely_ND","GoodRL",0,0,6
"609","Fenpropathrin","404S26670_2012","404S26670",104035,2012-06-18,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",6.4e-05,0.000369,1,"H,PJM",NA,"DFG-WPCL","RWB4_SMC_2012","SWAMP",2014-08-09 00:00:00,"true",NA,"404S26670",404,"Santa Monica Bay","Urban",34.16385,-118.76205,"true","404S26670_2012-06-18",2012,0.0235,0,0.02,"PYR",0.11,1.1,"Unlikely_ND","GoodRL",0,0,6
"207","Cyfluthrin","404S26868_2012","404S26868",104072,2012-06-26,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.000166,0.00161,1,"H,PJM",NA,"DFG-WPCL","RWB4_SMC_2012","SWAMP",2014-08-09 00:00:00,"true",NA,"404S26868",404,"Santa Monica Bay","Urban",34.09675,-118.71737,"true","404S26868_2012-06-26",2012,0.0089,0,0.181,"PYR",0.046,0.46,"Possible or Unlikely","Poor RL",0,0,4
"352","Cypermethrin","404S26868_2012","404S26868",104074,2012-06-26,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.000169,0.00161,1,"H,PJM",NA,"DFG-WPCL","RWB4_SMC_2012","SWAMP",2014-08-09 00:00:00,"true",NA,"404S26868",404,"Santa Monica Bay","Urban",34.09675,-118.71737,"true","404S26868_2012-06-26",2012,0.0089,0,0.181,"PYR",0.049,0.49,"Possible or Unlikely","Poor RL",0,0,4
"415","Deltamethrin","404S26868_2012","404S26868",67173,2012-06-26,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.000286,0.00129,1,"H,PJM",NA,"DFG-WPCL","RWB4_SMC_2012","SWAMP",2014-08-09 00:00:00,"true",NA,"404S26868",404,"Santa Monica Bay","Urban",34.09675,-118.71737,"true","404S26868_2012-06-26",2012,0.0089,0,0.14,"PYR",0.02,0.2,"Possible or Unlikely","Poor RL",0,0,4
"518","Esfenvalerate","404S26868_2012","404S26868",104075,2012-06-26,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.000168,0.000644,1,"H,PJM",NA,"DFG-WPCL","RWB4_SMC_2012","SWAMP",2014-08-09 00:00:00,"true",NA,"404S26868",404,"Santa Monica Bay","Urban",34.09675,-118.71737,"true","404S26868_2012-06-26",2012,0.0089,0,0.072,"PYR",0.055,0.55,"Possible or Unlikely","Poor RL",0,0,4
"71","Bifenthrin","404S26868_2012","404S26868",104071,2012-06-26,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",0.000215,"DNQ",8.1e-05,0.000322,1,"H,PJM",NA,"DFG-WPCL","RWB4_SMC_2012","SWAMP",2014-08-09 00:00:00,"true",NA,"404S26868",404,"Santa Monica Bay","Urban",34.09675,-118.71737,"true","404S26868_2012-06-26",2012,0.0089,0.02,0.04,"PYR",0.17,0.6,"Unlikely (<TEB)","GoodRL",0.117647058823529,0.0333333333333333,5
"570","Fenpropathrin","404S26868_2012","404S26868",104076,2012-06-26,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",5.6e-05,0.000322,1,"H,PJM",NA,"DFG-WPCL","RWB4_SMC_2012","SWAMP",2014-08-09 00:00:00,"true",NA,"404S26868",404,"Santa Monica Bay","Urban",34.09675,-118.71737,"true","404S26868_2012-06-26",2012,0.0089,0,0.04,"PYR",0.11,1.1,"Unlikely_ND","GoodRL",0,0,6
