masterid,SiteYear,MeanSurvival,CtrlAdjSurvival,csci,e,mean_o,oovere,oovere_percentile,mmi,mmi_percentile,ASCI.hybrid,PyrethroidSum,PyrethroidSum_OrgNorm,Arsenic,Cadmium,Chromium,Copper,Lead,Mercury,Nickel,Zinc,mPECq,huc,smcshed,smc_lu,latitude,longitude,probabilistic
412WE0552,412WE0552_2000,NA,NA,1.27640856,9.91129355,11.45,1.15524779,0.79,1.39756933,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,412,Los Angeles,Open,34.23908,-118.18059,TRUE
412WE0552,412WE0552_2015,NA,NA,0.97827804,9.91129355,11.55,1.16533729,0.81,0.79121878,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,412,Los Angeles,Open,34.23908,-118.18059,TRUE
412WE0552,412WE0552_2016,NA,NA,0.87987485,9.91129355,9.7,0.97868154,0.46,0.78106817,0.11,0.78791098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,412,Los Angeles,Open,34.23908,-118.18059,TRUE
412WE0552,412WE0552_2017,NA,NA,0.91691802,9.91129355,9.35,0.94336828,0.38,0.89046776,0.27,1.08959015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,412,Los Angeles,Open,34.23908,-118.18059,TRUE
412WE0552,412WE0552_2018,NA,NA,0.75573503,9.91129355,9.25,0.93327878,0.36,0.57819127,0.01,0.87406105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,412,Los Angeles,Open,34.23908,-118.18059,TRUE
412WE0552,412WE0552_2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86850237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,412,Los Angeles,Open,34.23908,-118.18059,TRUE
412WE0563,412WE0563_2001,NA,NA,1.13733248,7.10776663,8.85,1.24511685,0.9,1.0295481,0.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,412,Los Angeles,Open,34.34716,-118.04869,TRUE
412WE0896,412WE0896_2001,NA,NA,1.09284093,7.77087682,7.75,0.99731345,0.49,1.18836841,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,412,Los Angeles,Open,34.28771,-118.23008,TRUE
412WE0896,412WE0896_2015,NA,NA,0.88518212,7.77087682,7.7,0.99087917,0.48,0.77948508,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,412,Los Angeles,Open,34.28771,-118.23008,TRUE
481M15356,481M15356_2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.84865458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,481,Middle Santa Ana,Open,34.23115,-117.66159,TRUE
481S05856,481S05856_2013,NA,NA,1.21894222,5.85059716,7.8,1.33319724,0.96,1.1046872,0.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,481,Middle Santa Ana,Open,34.19152,-117.67601,TRUE
801BNC530,801BNC530_2007,NA,NA,0.8602772,14.22948,11.55,0.81169516,0.16,0.90885925,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Upper Santa Ana,Open,34.17834,-116.90881,TRUE
801BNC530,801BNC530_2012,NA,NA,1.01239406,14.22948,14.9,1.04712189,0.6,0.97766622,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Upper Santa Ana,Open,34.17834,-116.90881,TRUE
801BNC530,801BNC530_2014,NA,NA,0.82780287,14.22948,13.05,0.91711011,0.33,0.73849562,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Upper Santa Ana,Open,34.17834,-116.90881,TRUE
801BRC184,801BRC184_2009,NA,NA,1.11603269,6.35746699,6.95,1.09320269,0.69,1.1388627,0.78,0.8606412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Upper Santa Ana,Open,34.16546,-117.01553,TRUE
801BRC184,801BRC184_2014,NA,NA,1.05428776,6.35746699,7,1.10106745,0.7,1.00750806,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Upper Santa Ana,Open,34.16546,-117.01553,TRUE
801CBN012,801CBN012_2006,NA,NA,0.5968458,11.1283226,4,0.35944321,0,0.83424838,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Lower Santa Ana,Open,33.91909,-117.82201,TRUE
801CE0152,801CE0152_2005,NA,NA,1.05023582,5.83535442,7,1.19958438,0.85,0.90088726,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Upper Santa Ana,Open,34.18783,-117.1803,TRUE
801CJW027,801CJW027_2006,NA,NA,0.79512173,7.05366063,5.9,0.83644512,0.2,0.75379833,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Upper Santa Ana,Open,34.3061,-117.4697,TRUE
801CJW027,801CJW027_2012,NA,NA,0.97024914,7.05366063,7.55,1.07036621,0.64,0.87013206,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Upper Santa Ana,Open,34.3061,-117.4697,TRUE
801CJW041,801CJW041_2006,NA,NA,0.89126181,7.01804461,6.95,0.99030434,0.48,0.79221928,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Upper Santa Ana,Open,34.29543,-117.45882,TRUE
801CJW041,801CJW041_2012,NA,NA,1.01011057,7.01804461,8,1.13991866,0.77,0.88030248,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Upper Santa Ana,Open,34.29543,-117.45882,TRUE
801CJW079,801CJW079_2006,NA,NA,0.65378745,6.96237291,4,0.57451677,0.01,0.73305814,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Upper Santa Ana,Urban,34.22123,-117.40798,TRUE
801CYC114,801CYC114_2008,NA,NA,0.89772558,7.58153284,6.95,0.91670117,0.33,0.87875,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Upper Santa Ana,Urban,34.13646,-117.1897,TRUE
801CYC114,801CYC114_2013,NA,NA,1.11838372,7.58153284,9.1,1.20028498,0.85,1.03648247,0.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Upper Santa Ana,Urban,34.13646,-117.1897,TRUE
801CYC121,801CYC121_2007,NA,NA,0.62942209,8.37220191,5,0.59721445,0.02,0.66162973,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Upper Santa Ana,Urban,34.12372,-117.19213,TRUE
801CYC398,801CYC398_2007,NA,NA,0.8501842,8.32975417,7.8,0.93640218,0.37,0.76396622,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Upper Santa Ana,Urban,34.13646,-117.18965,TRUE
801CYC398,801CYC398_2014,NA,NA,0.94278628,8.32975417,8.75,1.05045117,0.6,0.83512139,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Upper Santa Ana,Urban,34.13646,-117.18965,TRUE
801CYC398,801CYC398_2016,NA,NA,1.04280009,8.32975417,8.95,1.07446148,0.65,1.0111387,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Upper Santa Ana,Urban,34.13646,-117.18965,TRUE
801DRC025,801DRC025_2007,NA,NA,1.08830408,6.39151237,6.95,1.08737957,0.68,1.08922858,0.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Upper Santa Ana,Open,34.1739,-116.9839,TRUE
801DRC025,801DRC025_2014,NA,NA,0.95784233,6.39151237,6,0.93874496,0.37,0.97693971,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Upper Santa Ana,Open,34.1739,-116.9839,TRUE
801EBC080,801EBC080_2008,NA,NA,1.02800485,12.31079764,13,1.05598357,0.62,1.00002614,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Upper Santa Ana,SMC_out,34.1584,-116.88742,TRUE
801EBC126,801EBC126_2008,NA,NA,0.52467468,11.66656038,6.65,0.57000519,0.01,0.47934418,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Upper Santa Ana,Open,34.17413,-116.89426,TRUE
801EBC686,801EBC686_2007,NA,NA,0.74896759,10.29837045,7,0.67971919,0.05,0.81821599,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Upper Santa Ana,Open,34.16918,-116.89195,TRUE
801EBC686,801EBC686_2014,NA,NA,1.14312021,10.29837045,12.55,1.2186394,0.87,1.06760102,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Upper Santa Ana,Open,34.16918,-116.89195,TRUE
801ETC226,801ETC226_2006,NA,NA,0.99438277,6.39919077,7.7,1.20327715,0.86,0.7854884,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Upper Santa Ana,Open,34.19146,-117.27421,TRUE
801ETC226,801ETC226_2014,NA,NA,1.2209243,6.39919077,8.8,1.37517388,0.98,1.06667472,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Upper Santa Ana,Open,34.19146,-117.27421,TRUE
801HBC050,801HBC050_2008,NA,NA,0.78947947,8.72784724,7,0.80203054,0.15,0.7769284,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Upper Santa Ana,Open,34.15651,-116.79441,TRUE
801HBC050,801HBC050_2013,NA,NA,0.65675113,8.72784724,7.35,0.84213206,0.2,0.47137021,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Upper Santa Ana,Open,34.15651,-116.79441,TRUE
801HNC203,801HNC203_2007,NA,NA,1.02688117,9.17207673,8.75,0.95398242,0.4,1.09977991,0.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Upper Santa Ana,Open,34.18658,-116.91801,TRUE
801HNC203,801HNC203_2012,NA,NA,1.13889174,9.17207673,9.9,1.07936297,0.66,1.19842051,0.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Upper Santa Ana,Open,34.18658,-116.91801,TRUE
801ICE713,801ICE713_2006,NA,NA,0.8796922,13.73289322,9,0.65536081,0.04,1.1040236,0.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Middle Santa Ana,Open,34.24908,-117.63127,TRUE
801LYC028,801LYC028_2006,NA,NA,0.5144808,6.72583352,2.95,0.43860735,0,0.59035425,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Middle Santa Ana,SMC_out,34.2026,-117.44583,TRUE
801LYC062,801LYC062_2006,NA,NA,0.85851454,6.71699795,6,0.89325619,0.29,0.82377288,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Middle Santa Ana,Open,34.21257,-117.45844,TRUE
801LYC271,801LYC271_2007,NA,NA,1.01099814,7.24879203,7.85,1.08293906,0.67,0.93905722,0.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Middle Santa Ana,Open,34.22931,-117.47362,TRUE
801LYC271,801LYC271_2014,NA,NA,0.94943121,7.24879203,7.95,1.09673446,0.69,0.80212795,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Middle Santa Ana,Open,34.22931,-117.47362,TRUE
801LYC346,801LYC346_2007,NA,NA,0.77580046,6.39475909,4,0.62551223,0.02,0.92608869,0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Middle Santa Ana,Open,34.23613,-117.49604,TRUE
801LYC600,801LYC600_2009,NA,NA,1.13423496,6.44758815,8,1.24077404,0.9,1.02769588,0.56,1.05631381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Middle Santa Ana,Open,34.23092,-117.48291,TRUE
801LYC600,801LYC600_2014,NA,NA,1.02803368,6.44758815,8,1.24077404,0.9,0.81529331,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Middle Santa Ana,Open,34.23092,-117.48291,TRUE
801M12611,801M12611_2015,NA,NA,0.46110742,7.84402539,4,0.50994226,0.01,0.41227259,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Lower Santa Ana,Urban,33.80456,-117.86822,TRUE
801M12617,801M12617_2015,NA,NA,0.42237979,7.64702656,3.65,0.47730971,0,0.36744987,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Lower Santa Ana,SMC_out,33.65489,-117.77451,TRUE
801M12625,801M12625_2015,NA,NA,0.39691218,7.67827485,4,0.52095035,0.01,0.27287401,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Lower Santa Ana,Urban,33.69499,-117.93471,TRUE
801M12641,801M12641_2016,NA,NA,0.40346892,7.0108976,3.95,0.5634086,0.01,0.24352925,0,0.72808556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Lower Santa Ana,SMC_out,33.69422,-117.88292,TRUE
801M12644,801M12644_2016,NA,NA,0.60951532,8.9018085,6.3,0.70772136,0.06,0.51130928,0,0.72359204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Lower Santa Ana,SMC_out,33.89118,-117.76561,TRUE
801M12649,801M12649_2013,NA,NA,0.6419036,8.249445,6,0.72732166,0.08,0.55648555,0.01,0.65066533,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Lower Santa Ana,Urban,33.6885,-117.81997,TRUE
801M12649,801M12649_2016,92.5,92.5,0.42411102,8.249445,3.3,0.40002691,0,0.44819512,0,0.77289335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Lower Santa Ana,Urban,33.6885,-117.81997,TRUE
801M12652,801M12652_2017,NA,NA,0.4613421,7.65854155,4,0.52229266,0.01,0.40039155,0,1.02280779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Lower Santa Ana,SMC_out,33.71785,-117.997,TRUE
801M12665,801M12665_2017,95,95,0.74593263,7.62226006,7.35,0.96428093,0.43,0.52758434,0,0.47289895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Lower Santa Ana,Urban,33.64903,-117.69704,TRUE
801M12669,801M12669_2017,100,100,0.15672282,6.99955643,0.95,0.13572289,0,0.17772274,0,0.95134722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Lower Santa Ana,Urban,33.69499,-117.85583,TRUE
801M12673,801M12673_2018,100,105.2631579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Lower Santa Ana,Urban,33.6049,-117.85296,TRUE
801M12678,801M12678_2019,100,100,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Lower Santa Ana,Agricultural,33.79594,-117.70467,TRUE
801M15366,801M15366_2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.06890966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Upper Santa Ana,Open,34.1728,-117.26687,TRUE
801M15376,801M15376_2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.62526188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Middle Santa Ana,Urban,34.082,-117.54148,TRUE
801M15377,801M15377_2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95689566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Middle Santa Ana,SMC_out,34.21799,-117.46218,TRUE
801M15378,801M15378_2016,NA,NA,1.09849071,5.09964645,6.85,1.34323037,0.96,0.85375104,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Middle Santa Ana,Open,34.24433,-117.50774,TRUE
801M15414,801M15414_2016,NA,NA,1.10437647,6.53843175,7.4,1.13176986,0.76,1.07698309,0.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Upper Santa Ana,Open,34.18646,-117.18547,TRUE
801M15424,801M15424_2016,NA,NA,0.50392613,8.89223611,5,0.56228826,0.01,0.44556399,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Middle Santa Ana,Agricultural,33.99181,-117.59958,TRUE
801M16861,801M16861_2015,NA,NA,0.61989205,7.77157471,5.6,0.72057468,0.07,0.51920942,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Middle Santa Ana,Urban,33.89732,-117.36136,TRUE
801M16873,801M16873_2015,NA,NA,0.53533643,7.61409132,5,0.65667718,0.04,0.41399568,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Middle Santa Ana,SMC_out,33.90145,-117.4664,TRUE
801M16908,801M16908_2016,NA,NA,0.78274644,8.91629198,8.6,0.96452651,0.43,0.60096636,0.01,0.56852302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Middle Santa Ana,Agricultural,33.91828,-117.63602,TRUE
801M16916,801M16916_2016,NA,NA,0.73325394,8.91908141,8,0.89695336,0.29,0.56955452,0.01,0.52231151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Middle Santa Ana,Agricultural,33.96417,-117.49156,TRUE
801M16932,801M16932_2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36887775,6.00E-04,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Middle Santa Ana,Open,33.94279,-117.32362,TRUE
801M16949,801M16949_2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.62035003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Middle Santa Ana,SMC_out,33.8732,-117.44195,TRUE
801M16957,801M16957_2019,100,104.1666667,NA,NA,NA,NA,NA,NA,NA,0.81637554,0.00117,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Middle Santa Ana,Urban,33.85539,-117.3551,TRUE
801M16973,801M16973_2018,NA,NA,0.65863917,6.97142823,5.55,0.7961066,0.14,0.52117175,0,0.66352801,0.15649,1.608,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Middle Santa Ana,Urban,33.93481,-117.34516,TRUE
801M16976,801M16976_2018,NA,NA,0.80643166,8.90890804,8.7,0.97655066,0.45,0.63631266,0.02,0.66019612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Middle Santa Ana,Urban,34.01604,-117.37024,TRUE
801MFC100,801MFC100_2007,NA,NA,0.93707367,8.58782912,7,0.81510704,0.17,1.0590403,0.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Upper Santa Ana,Urban,34.22644,-116.93895,TRUE
801MFC100,801MFC100_2015,NA,NA,1.10715492,8.58782912,10.7,1.24594934,0.9,0.96836051,0.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Upper Santa Ana,Urban,34.22644,-116.93895,TRUE
801MHC219,801MHC219_2009,NA,NA,1.14775963,7.41599146,7.85,1.05852333,0.62,1.23699592,0.91,0.65719985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Upper Santa Ana,Open,34.11105,-116.99195,TRUE
801MHC219,801MHC219_2012,NA,NA,1.25454513,7.41599146,8.9,1.20010926,0.85,1.308981,0.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Upper Santa Ana,Open,34.11105,-116.99195,TRUE
801MHC219,801MHC219_2014,NA,NA,1.10628879,7.41599146,8,1.07874989,0.66,1.13382769,0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Upper Santa Ana,Open,34.11105,-116.99195,TRUE
801MIC007,801MIC007_2006,NA,NA,0.58382154,6.92788986,2.95,0.42581508,0,0.741828,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Upper Santa Ana,Open,34.0952,-116.96447,TRUE
801MIC034,801MIC034_2006,NA,NA,0.72268813,7.62955142,4.9,0.64223959,0.03,0.80313667,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Upper Santa Ana,Open,34.08909,-116.92669,TRUE
801MIC034,801MIC034_2015,NA,NA,0.64551173,7.62955142,6,0.78641583,0.13,0.50460764,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Upper Santa Ana,Open,34.08909,-116.92669,TRUE
801MIC035,801MIC035_2006,NA,NA,1.0132347,4.8811766,4.9,1.00385632,0.51,1.02261307,0.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Upper Santa Ana,Open,34.08193,-116.89027,TRUE
801MIC042,801MIC042_2006,NA,NA,0.44462835,8.90932614,4.65,0.521925,0.01,0.3673317,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Middle Santa Ana,Agricultural,33.94623,-117.61423,TRUE
801MIC042,801MIC042_2012,NA,NA,0.29404722,8.90932614,3,0.3367258,0,0.25136863,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Middle Santa Ana,Agricultural,33.94623,-117.61423,TRUE
801MIC042,801MIC042_2014,NA,NA,0.40829885,8.90932614,3.55,0.39845887,0,0.41813884,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Middle Santa Ana,Agricultural,33.94623,-117.61423,TRUE
801MIC074,801MIC074_2008,NA,NA,0.74137498,4.86686028,3.45,0.70887591,0.06,0.77387405,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Upper Santa Ana,Open,34.08167,-116.8887,TRUE
801MIC272,801MIC272_2008,NA,NA,0.80318858,9.35740051,6.55,0.69998073,0.06,0.90639643,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Upper Santa Ana,Open,34.08788,-116.91434,TRUE
801MIC272,801MIC272_2015,NA,NA,0.69911719,9.35740051,6.9,0.73738428,0.08,0.66085011,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Upper Santa Ana,Open,34.08788,-116.91434,TRUE
801MIC370,801MIC370_2007,NA,NA,0.88940522,6.73549678,6,0.89080289,0.28,0.88800755,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Upper Santa Ana,Open,34.10015,-117.02393,TRUE
801MIC370,801MIC370_2012,NA,NA,1.01299872,6.73549678,7,1.03927004,0.58,0.98672741,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Upper Santa Ana,Open,34.10015,-117.02393,TRUE
801MIC370,801MIC370_2014,NA,NA,0.82605897,6.73549678,7.2,1.06896347,0.64,0.58315447,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Upper Santa Ana,Open,34.10015,-117.02393,TRUE
801MLC057,801MLC057_2008,NA,NA,1.10132476,15.09442944,16.3,1.07986857,0.66,1.12278095,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Middle Santa Ana,Open,34.25033,-117.54376,TRUE
801MLC057,801MLC057_2015,NA,NA,0.75857259,15.09442944,12,0.79499527,0.14,0.72214992,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Middle Santa Ana,Open,34.25033,-117.54376,TRUE
801MLC069,801MLC069_2007,NA,NA,1.12181578,4.347057,5,1.15020346,0.79,1.09342809,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Middle Santa Ana,Open,34.2481,-117.51276,TRUE
801MLC069,801MLC069_2015,NA,NA,1.04548772,4.347057,5,1.15020346,0.79,0.94077198,0.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Middle Santa Ana,Open,34.2481,-117.51276,TRUE
801NLC105,801NLC105_2007,NA,NA,1.01369548,5.18475399,6.65,1.28260666,0.93,0.74478429,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Middle Santa Ana,Open,34.25265,-117.4925,TRUE
801NLC105,801NLC105_2012,NA,NA,1.03637026,5.18475399,6.6,1.272963,0.92,0.79977751,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Middle Santa Ana,Open,34.25265,-117.4925,TRUE
801NLC105,801NLC105_2014,NA,NA,0.82902814,5.18475399,4.8,0.92579127,0.35,0.73226501,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Middle Santa Ana,Open,34.25265,-117.4925,TRUE
801PCW048,801PCW048_2008,NA,NA,0.34998697,8.85045832,3,0.3389655,0,0.36100844,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Lower Santa Ana,Urban,33.71756,-117.78945,TRUE
801PCW048,801PCW048_2012,NA,NA,0.28272952,8.85045832,3,0.3389655,0,0.22649355,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Lower Santa Ana,Urban,33.71756,-117.78945,TRUE
801PCW171,801PCW171_2008,NA,NA,0.2628193,8.94918656,3,0.335226,0,0.1904126,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Lower Santa Ana,Urban,33.72398,-117.78003,TRUE
801PCW171,801PCW171_2012,NA,NA,0.27426954,8.94918656,3,0.335226,0,0.21331307,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Lower Santa Ana,Urban,33.72398,-117.78003,TRUE
801PFB019,801PFB019_2006,NA,NA,0.77594634,8.91243634,8.9,0.99860461,0.5,0.55328808,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Middle Santa Ana,Urban,33.92417,-117.59778,TRUE
801PFB019,801PFB019_2012,NA,NA,0.61291398,8.91243634,6,0.67321659,0.04,0.55261138,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Middle Santa Ana,Urban,33.92417,-117.59778,TRUE
801PFB019,801PFB019_2014,NA,NA,0.67425963,8.91243634,6.55,0.73492811,0.08,0.61359115,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Middle Santa Ana,Urban,33.92417,-117.59778,TRUE
801PLC362,801PLC362_2008,NA,NA,1.10587456,6.40678714,8,1.24867579,0.9,0.96307333,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Middle Santa Ana,Open,34.23904,-117.49896,TRUE
801PLC362,801PLC362_2013,NA,NA,1.19920132,6.40678714,7.8,1.2174589,0.87,1.18094375,0.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Middle Santa Ana,Open,34.23904,-117.49896,TRUE
801PLC469,801PLC469_2008,NA,NA,1.01268169,8.2519363,10,1.21183679,0.87,0.81352659,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Upper Santa Ana,Urban,34.1116,-117.14689,TRUE
801PLC469,801PLC469_2012,NA,NA,0.78520411,8.2519363,5.5,0.66651023,0.04,0.90389798,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Upper Santa Ana,Urban,34.1116,-117.14689,TRUE
801PS0019,801PS0019_2008,NA,NA,1.1203653,6.6256898,7.95,1.19987507,0.85,1.04085554,0.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,Upper Santa Ana,Open,34.15507,-117.13606,TRUE
