,analytename,SiteYear,stationcode,objectid,sampledate,sampletypecode,matrixname,fieldreplicate,labreplicate,methodname,fractionname,unit,result,resqualcode,mdl,rl,dilutionfactor,qacode,labresultcomments,labagencycode,projectcode,record_origin,origin_lastupdatedate,record_publish,masterid,huc,smcshed,smc_lu,latitude,longitude,SiteDate,Year,OCresult,OrgNorm,Class,LEB,TEB,Assessment,PyrQuotientLEB,PyrQuotientTEB,RLOC,RLEvalLEB,RLEvalTEB
560,Fenpropathrin,403S01728_2011,403S01728,98748,7/13/2011,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,0.00125,0.00249,1,None,NA,DFG-WPCL,RWB4_SMC_2011,SWAMP,7/12/2012 0:00,TRUE,403S01728,403,Santa Clara,Open,34.5749,-118.46002,403S01728_2011-07-13,2011,0.0086,0,PYR,1.1,0.11,Possible or Unlikely,0,0,0.289534884,ok,BAD RL
566,Fenpropathrin,403S01536_2011,403S01536,98672,7/12/2011,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,0.00112,0.00225,1,None,NA,DFG-WPCL,RWB4_SMC_2011,SWAMP,7/12/2012 0:00,TRUE,403S01536,403,Santa Clara,Open,34.56909,-118.39212,403S01536_2011-07-12,2011,0.0124,0,PYR,1.1,0.11,Possible or Unlikely,0,0,0.181451613,ok,BAD RL
574,Fenpropathrin,404S11880_2011,404S11880,103350,6/7/2011,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,0.00137,0.00274,1,None,NA,DFG-WPCL,RWB4_SMC_2011,SWAMP,7/12/2012 0:00,TRUE,404S11880,404,Santa Monica Bay,Urban,34.12529,-118.70827,404S11880_2011-06-07,2011,0.0214,0,PYR,1.1,0.11,Possible or Unlikely,0,0,0.128037383,ok,BAD RL
577,Fenpropathrin,403S02764_2011,403S02764,61897,6/14/2011,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,0.00113,0.00225,1,None,NA,DFG-WPCL,RWB4_SMC_2011,SWAMP,7/12/2012 0:00,TRUE,403S02764,403,Santa Clara,Open,34.44778,-118.7549,403S02764_2011-06-14,2011,0.0077,0,PYR,1.1,0.11,Possible or Unlikely,0,0,0.292207792,ok,BAD RL
588,Fenpropathrin,903S02145_2011,903S02145,85415,8/3/2011,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,5.50E-05,0.000316,1,None,NA,DFG-WPCL,RWB9_SMC_2011,SWAMP,7/12/2012 0:00,TRUE,903S02145,903,Northern San Diego,Agricultural,33.269344,-117.031468,903S02145_2011-08-03,2011,0.0012,0,PYR,1.1,0.11,Possible or Unlikely,0,0,0.263333333,ok,BAD RL
590,Fenpropathrin,907S05514_2011,907S05514,123747,5/18/2011,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,0.00129,0.00258,1,None,NA,DFG-WPCL,RWB9_SMC_2011,SWAMP,7/12/2012 0:00,TRUE,907S05514,907,Mission Bay and San Diego River,Open,32.97974,-116.74246,907S05514_2011-05-18,2011,0.0094,0,PYR,1.1,0.11,Possible or Unlikely,0,0,0.274468085,ok,BAD RL
616,Permethrin,404S18666_2011,404S18666,66881,6/15/2011,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,0.00091,0.00183,1,None,NA,DFG-WPCL,RWB4_SMC_2011,SWAMP,7/12/2012 0:00,TRUE,404S18666,404,Santa Monica Bay,Urban,34.17206,-118.76375,404S18666_2011-06-15,2011,0.004,0,PYR,9.3,0.42,Possible or Unlikely,0,0,0.4575,ok,BAD RL
618,Permethrin,901S06798_2011,901S06798,84740,5/17/2011,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,0.000909,0.00182,1,None,NA,DFG-WPCL,RWB9_SMC_2011,SWAMP,7/12/2012 0:00,TRUE,901S06798,901,San Juan,Open,33.53154,-117.74144,901S06798_2011-05-17,2011,0.0027,0,PYR,9.3,0.42,Possible or Unlikely,0,0,0.674074074,ok,BAD RL
632,Permethrin,SMC13214_2013,SMC13214,30747,5/22/2013,grab,sediment,1,1,pyrethroids_Water GCMS-SIM,Total,ug/g dw,-88,ND,0.004,0.004,1,DF,M-02,WKL,NA,SMC,6/11/2018 15:26,TRUE,SMC13214,801,Lower Santa Ana,Urban,33.80453,-117.87242,SMC13214_2013-05-22,2013,0.00379,0,PYR,9.3,0.42,Possible or Unlikely,0,0,1.055408971,ok,BAD RL
636,Permethrin,SMC13187_2013,SMC13187,31077,6/4/2013,grab,sediment,1,1,pyrethroids_Water GCMS-SIM,Total,ug/g dw,-88,ND,0.0032,0.0032,1,DF,M-02,WKL,NA,SMC,6/11/2018 15:26,TRUE,SMC13187,801,Lower Santa Ana,Urban,33.67808,-117.80245,SMC13187_2013-06-04,2013,0.00065,0,PYR,9.3,0.42,Possible or Unlikely,0,0,4.923076923,ok,BAD RL
637,Permethrin,901M14149_2019,901M14149,127113,5/29/2019,grab,sediment,1,1,EPA 8270D,Total,ug/g dw,-88,ND,0.00017,5.00E-04,1,None,,PEL,SMC_OCPW_2019,SMC,9/27/2019 15:44,FALSE,901M14149,901,San Juan,Open,33.56754,-117.74812,901M14149_2019-05-29,2019,0.0011,0,PYR,9.3,0.42,Possible or Unlikely,0,0,0.454545455,ok,BAD RL
641,Permethrin,404S16232_2011,404S16232,103595,6/9/2011,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,0.000935,0.00187,1,None,NA,DFG-WPCL,RWB4_SMC_2011,SWAMP,7/12/2012 0:00,TRUE,404S16232,404,Santa Monica Bay,Urban,34.12549,-118.75317,404S16232_2011-06-09,2011,0.0039,0,PYR,9.3,0.42,Possible or Unlikely,0,0,0.479487179,ok,BAD RL
649,Permethrin,801S02947_2011,SMC02947,20078,7/12/2011,grab,sediment,1,1,pyrethroids_Water GCMS-SIM,Total,ug/g dw,-88,ND,0.0049,0.0049,1,None,,WKL,NA,SMC,6/11/2018 15:26,TRUE,801S02947,801,Lower Santa Ana,Urban,33.69919,-117.81143,801S02947_2011-07-12,2011,0.0094,0,PYR,9.3,0.42,Possible or Unlikely,0,0,0.521276596,ok,BAD RL
659,Permethrin,SMC09091_2013,SMC09091,31720,6/27/2013,grab,sediment,1,1,pyrethroids_Water GCMS-SIM,Total,ug/g dw,-88,ND,0.0036,0.0036,1,DF,M-02,WKL,NA,SMC,6/11/2018 15:26,TRUE,SMC09091,801,Lower Santa Ana,Urban,33.71335,-117.79574,SMC09091_2013-06-27,2013,0.00505,0,PYR,9.3,0.42,Possible or Unlikely,0,0,0.712871287,ok,BAD RL
660,Permethrin,801M12649_2013,SMC14211,31089,6/4/2013,grab,sediment,1,1,pyrethroids_Water GCMS-SIM,Total,ug/g dw,-88,ND,0.0034,0.0034,1,DF,M-02,WKL,NA,SMC,6/11/2018 15:26,TRUE,801M12649,801,Lower Santa Ana,Urban,33.6894,-117.82174,801M12649_2013-06-04,2013,0.00235,0,PYR,9.3,0.42,Possible or Unlikely,0,0,1.446808511,ok,BAD RL
664,Permethrin,901M14145_2019,901M14145,127791,6/27/2019,grab,sediment,1,1,EPA 8270D_NCI,Total,ug/g dw,-88,ND,0.00017,5.00E-04,1,None,,PEL,SMC_OCPW_2019,SMC,9/27/2019 15:44,FALSE,901M14145,901,San Juan,Urban,33.48818,-117.66682,901M14145_2019-06-27,2019,9.00E-04,0,PYR,9.3,0.42,Possible or Unlikely,0,0,0.555555556,ok,BAD RL
669,Permethrin,SMC01923_2011,SMC01923,20063,7/12/2011,grab,sediment,1,1,pyrethroids_Water GCMS-SIM,Total,ug/g dw,-88,ND,0.0035,0.0035,1,None,,WKL,NA,SMC,6/11/2018 15:26,TRUE,SMC01923,801,Lower Santa Ana,Urban,33.67221,-117.78872,SMC01923_2011-07-12,2011,0.0015,0,PYR,9.3,0.42,Possible or Unlikely,0,0,2.333333333,ok,BAD RL
672,Permethrin,SMC02206_2011,SMC02206,20093,7/19/2011,grab,sediment,1,1,pyrethroids_Water GCMS-SIM,Total,ug/g dw,0.0045,NA,0.0041,0.0041,1,None,,WKL,NA,SMC,6/11/2018 15:26,TRUE,SMC02206,801,Lower Santa Ana,Urban,33.87098,-117.85002,SMC02206_2011-07-19,2011,0.0033,1.363636364,PYR,9.3,0.42,Possible or Unlikely,0.146627566,3.246753247,1.242424242,ok,BAD RL
678,Permethrin,SMC00206_2019,SMC00206,127241,6/4/2019,grab,sediment,1,1,EPA 8270D,Total,ug/g dw,-88,ND,0.00017,5.00E-04,1,None,,PEL,SMC_OCPW_2019,SMC,9/27/2019 15:44,FALSE,SMC00206,901,San Juan,Urban,33.54359,-117.65963,SMC00206_2019-06-04,2019,9.00E-04,0,PYR,9.3,0.42,Possible or Unlikely,0,0,0.555555556,ok,BAD RL
680,Permethrin,403S34646_2013,403S34646,62781,6/25/2013,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,0.1722,=,0.022,0.0569,20,"D,PJM",NA,DFG-WPCL,RWB4_SMC_2013,SWAMP,4/7/2016 0:00,TRUE,403S34646,403,Santa Clara,Agricultural,34.42556,-118.56616,403S34646_2013-06-25,2013,0.0923,1.865655471,PYR,9.3,0.42,Possible or Unlikely,0.200608115,4.442036836,0.616468039,ok,BAD RL
682,Permethrin,SMC09118_2013,SMC09118,30735,5/22/2013,grab,sediment,1,1,pyrethroids_Water GCMS-SIM,Total,ug/g dw,-88,ND,0.0038,0.0038,1,DF,M-02,WKL,NA,SMC,6/11/2018 15:26,TRUE,SMC09118,801,Lower Santa Ana,Urban,33.80876,-117.86259,SMC09118_2013-05-22,2013,0.00474,0,PYR,9.3,0.42,Possible or Unlikely,0,0,0.801687764,ok,BAD RL
689,Permethrin,903S02145_2011,903S02145,122525,8/3/2011,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,0.000612,0.00158,1,None,NA,DFG-WPCL,RWB9_SMC_2011,SWAMP,7/12/2012 0:00,TRUE,903S02145,903,Northern San Diego,Agricultural,33.269344,-117.031468,903S02145_2011-08-03,2011,0.0012,0,PYR,9.3,0.42,Possible or Unlikely,0,0,1.316666667,ok,BAD RL
695,Permethrin,SMC00873_2019,SMC00873,127049,5/10/2019,grab,sediment,1,1,EPA 8270D,Total,ug/g dw,-88,ND,0.00017,5.00E-04,1,None,,PEL,SMC_OCPW_2019,SMC,9/27/2019 15:44,FALSE,SMC00873,901,San Juan,Urban,33.59849,-117.62668,SMC00873_2019-05-10,2019,3.00E-04,0,PYR,9.3,0.42,Possible or Unlikely,0,0,1.666666667,ok,BAD RL
698,Permethrin,SMC14099_2013,SMC14099,31461,6/13/2013,grab,sediment,1,1,pyrethroids_Water GCMS-SIM,Total,ug/g dw,-88,ND,0.0035,0.0035,1,DF,M-02,WKL,NA,SMC,6/11/2018 15:26,TRUE,SMC14099,801,Lower Santa Ana,Urban,33.62772,-117.73558,SMC14099_2013-06-13,2013,0.00112,0,PYR,9.3,0.42,Possible or Unlikely,0,0,3.125,ok,BAD RL
7,Allethrin,SMC14099_2013,SMC14099,31453,6/13/2013,grab,sediment,1,1,pyrethroids_Water GCMS-SIM,Total,ug/g dw,-88,ND,0.0035,0.0035,1,DF,M-02,WKL,NA,SMC,6/11/2018 15:26,TRUE,SMC14099,801,Lower Santa Ana,Urban,33.62772,-117.73558,SMC14099_2013-06-13,2013,0.00112,0,PYR,2.9,0.29,RL too high,0,0,3.125,BAD RL,BAD RL
10,Allethrin,SMC13187_2013,SMC13187,31069,6/4/2013,grab,sediment,1,1,pyrethroids_Water GCMS-SIM,Total,ug/g dw,-88,ND,0.0032,0.0032,1,DF,M-02,WKL,NA,SMC,6/11/2018 15:26,TRUE,SMC13187,801,Lower Santa Ana,Urban,33.67808,-117.80245,SMC13187_2013-06-04,2013,0.00065,0,PYR,2.9,0.29,RL too high,0,0,4.923076923,BAD RL,BAD RL
30,Bifenthrin,SMC02206_2011,SMC02206,20084,7/19/2011,grab,sediment,1,1,pyrethroids_Water GCMS-SIM,Total,ug/g dw,-88,ND,0.0041,0.0041,1,None,,WKL,NA,SMC,6/11/2018 15:26,TRUE,SMC02206,801,Lower Santa Ana,Urban,33.87098,-117.85002,SMC02206_2011-07-19,2011,0.0033,0,PYR,0.6,0.17,RL too high,0,0,1.242424242,BAD RL,BAD RL
45,Bifenthrin,SMC13187_2013,SMC13187,31070,6/4/2013,grab,sediment,1,1,pyrethroids_Water GCMS-SIM,Total,ug/g dw,-88,ND,0.0032,0.0032,1,DF,M-02,WKL,NA,SMC,6/11/2018 15:26,TRUE,SMC13187,801,Lower Santa Ana,Urban,33.67808,-117.80245,SMC13187_2013-06-04,2013,0.00065,0,PYR,0.6,0.17,RL too high,0,0,4.923076923,BAD RL,BAD RL
46,Bifenthrin,SMC09118_2013,SMC09118,30728,5/22/2013,grab,sediment,1,1,pyrethroids_Water GCMS-SIM,Total,ug/g dw,0.0041,NA,0.0038,0.0038,1,DF,M-02,WKL,NA,SMC,6/11/2018 15:26,TRUE,SMC09118,801,Lower Santa Ana,Urban,33.80876,-117.86259,SMC09118_2013-05-22,2013,0.00474,0.864978903,PYR,0.6,0.17,RL too high,1.441631505,5.088111194,0.801687764,BAD RL,BAD RL
50,Bifenthrin,SMC13214_2013,SMC13214,30740,5/22/2013,grab,sediment,1,1,pyrethroids_Water GCMS-SIM,Total,ug/g dw,0.0045,NA,0.004,0.004,1,DF,M-02,WKL,NA,SMC,6/11/2018 15:26,TRUE,SMC13214,801,Lower Santa Ana,Urban,33.80453,-117.87242,SMC13214_2013-05-22,2013,0.00379,1.187335092,PYR,0.6,0.17,RL too high,1.978891821,6.984324073,1.055408971,BAD RL,BAD RL
61,Bifenthrin,801M12649_2013,SMC14211,31082,6/4/2013,grab,sediment,1,1,pyrethroids_Water GCMS-SIM,Total,ug/g dw,-88,ND,0.0034,0.0034,1,DF,M-02,WKL,NA,SMC,6/11/2018 15:26,TRUE,801M12649,801,Lower Santa Ana,Urban,33.6894,-117.82174,801M12649_2013-06-04,2013,0.00235,0,PYR,0.6,0.17,RL too high,0,0,1.446808511,BAD RL,BAD RL
75,Bifenthrin,SMC01923_2011,SMC01923,20054,7/12/2011,grab,sediment,1,1,pyrethroids_Water GCMS-SIM,Total,ug/g dw,-88,ND,0.0035,0.0035,1,None,,WKL,NA,SMC,6/11/2018 15:26,TRUE,SMC01923,801,Lower Santa Ana,Urban,33.67221,-117.78872,SMC01923_2011-07-12,2011,0.0015,0,PYR,0.6,0.17,RL too high,0,0,2.333333333,BAD RL,BAD RL
86,Bifenthrin,SMC14099_2013,SMC14099,31454,6/13/2013,grab,sediment,1,1,pyrethroids_Water GCMS-SIM,Total,ug/g dw,-88,ND,0.0035,0.0035,1,DF,M-02,WKL,NA,SMC,6/11/2018 15:26,TRUE,SMC14099,801,Lower Santa Ana,Urban,33.62772,-117.73558,SMC14099_2013-06-13,2013,0.00112,0,PYR,0.6,0.17,RL too high,0,0,3.125,BAD RL,BAD RL
92,Bifenthrin,SMC09091_2013,SMC09091,31713,6/27/2013,grab,sediment,1,1,pyrethroids_Water GCMS-SIM,Total,ug/g dw,0.0078,NA,0.0036,0.0036,1,None,,WKL,NA,SMC,6/11/2018 15:26,TRUE,SMC09091,801,Lower Santa Ana,Urban,33.71335,-117.79574,SMC09091_2013-06-27,2013,0.00505,1.544554455,PYR,0.6,0.17,RL too high,2.574257426,9.085614444,0.712871287,BAD RL,BAD RL
100,Bifenthrin,SMC00873_2019,SMC00873,127031,5/10/2019,grab,sediment,1,1,EPA 8270D,Total,ug/g dw,0.000327,DNQ,0.00022,5.00E-04,1,None,,PEL,SMC_OCPW_2019,SMC,9/27/2019 15:44,FALSE,SMC00873,901,San Juan,Urban,33.59849,-117.62668,SMC00873_2019-05-10,2019,3.00E-04,1.09,PYR,0.6,0.17,RL too high,1.816666667,6.411764706,1.666666667,BAD RL,BAD RL
149,Cyfluthrin,SMC09118_2013,SMC09118,30729,5/22/2013,grab,sediment,1,1,pyrethroids_Water GCMS-SIM,Total,ug/g dw,-88,ND,0.0038,0.0038,1,DF,M-02,WKL,NA,SMC,6/11/2018 15:26,TRUE,SMC09118,801,Lower Santa Ana,Urban,33.80876,-117.86259,SMC09118_2013-05-22,2013,0.00474,0,PYR,0.46,0.046,RL too high,0,0,0.801687764,BAD RL,BAD RL
159,Cyfluthrin,SMC01923_2011,SMC01923,20055,7/12/2011,grab,sediment,1,1,pyrethroids_Water GCMS-SIM,Total,ug/g dw,-88,ND,0.0035,0.0035,1,None,,WKL,NA,SMC,6/11/2018 15:26,TRUE,SMC01923,801,Lower Santa Ana,Urban,33.67221,-117.78872,SMC01923_2011-07-12,2011,0.0015,0,PYR,0.46,0.046,RL too high,0,0,2.333333333,BAD RL,BAD RL
164,Cyfluthrin,SMC00206_2019,SMC00206,127234,6/4/2019,grab,sediment,1,1,EPA 8270D,Total,ug/g dw,-88,ND,0.00025,5.00E-04,1,None,,PEL,SMC_OCPW_2019,SMC,9/27/2019 15:44,FALSE,SMC00206,901,San Juan,Urban,33.54359,-117.65963,SMC00206_2019-06-04,2019,9.00E-04,0,PYR,0.46,0.046,RL too high,0,0,0.555555556,BAD RL,BAD RL
179,Cyfluthrin,801M12649_2013,SMC14211,31083,6/4/2013,grab,sediment,1,1,pyrethroids_Water GCMS-SIM,Total,ug/g dw,-88,ND,0.0034,0.0034,1,DF,M-02,WKL,NA,SMC,6/11/2018 15:26,TRUE,801M12649,801,Lower Santa Ana,Urban,33.6894,-117.82174,801M12649_2013-06-04,2013,0.00235,0,PYR,0.46,0.046,RL too high,0,0,1.446808511,BAD RL,BAD RL
181,Cyfluthrin,SMC13214_2013,SMC13214,30741,5/22/2013,grab,sediment,1,1,pyrethroids_Water GCMS-SIM,Total,ug/g dw,-88,ND,0.004,0.004,1,DF,M-02,WKL,NA,SMC,6/11/2018 15:26,TRUE,SMC13214,801,Lower Santa Ana,Urban,33.80453,-117.87242,SMC13214_2013-05-22,2013,0.00379,0,PYR,0.46,0.046,RL too high,0,0,1.055408971,BAD RL,BAD RL
184,Cyfluthrin,403S34646_2013,403S34646,62776,6/25/2013,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,0.0347,DNQ,0.00588,0.0569,20,"BLM,D,PJM",NA,DFG-WPCL,RWB4_SMC_2013,SWAMP,4/7/2016 0:00,TRUE,403S34646,403,Santa Clara,Agricultural,34.42556,-118.56616,403S34646_2013-06-25,2013,0.0923,0.375947996,PYR,0.46,0.046,RL too high,0.817278251,8.172782514,0.616468039,BAD RL,BAD RL
194,Cyfluthrin,SMC02206_2011,SMC02206,20085,7/19/2011,grab,sediment,1,1,pyrethroids_Water GCMS-SIM,Total,ug/g dw,-88,ND,0.0041,0.0041,1,None,,WKL,NA,SMC,6/11/2018 15:26,TRUE,SMC02206,801,Lower Santa Ana,Urban,33.87098,-117.85002,SMC02206_2011-07-19,2011,0.0033,0,PYR,0.46,0.046,RL too high,0,0,1.242424242,BAD RL,BAD RL
197,Cyfluthrin,SMC09091_2013,SMC09091,31714,6/27/2013,grab,sediment,1,1,pyrethroids_Water GCMS-SIM,Total,ug/g dw,-88,ND,0.0036,0.0036,1,None,,WKL,NA,SMC,6/11/2018 15:26,TRUE,SMC09091,801,Lower Santa Ana,Urban,33.71335,-117.79574,SMC09091_2013-06-27,2013,0.00505,0,PYR,0.46,0.046,RL too high,0,0,0.712871287,BAD RL,BAD RL
202,Cyfluthrin,SMC13187_2013,SMC13187,31071,6/4/2013,grab,sediment,1,1,pyrethroids_Water GCMS-SIM,Total,ug/g dw,-88,ND,0.0032,0.0032,1,DF,M-02,WKL,NA,SMC,6/11/2018 15:26,TRUE,SMC13187,801,Lower Santa Ana,Urban,33.67808,-117.80245,SMC13187_2013-06-04,2013,0.00065,0,PYR,0.46,0.046,RL too high,0,0,4.923076923,BAD RL,BAD RL
203,Cyfluthrin,801S02947_2011,SMC02947,20070,7/12/2011,grab,sediment,1,1,pyrethroids_Water GCMS-SIM,Total,ug/g dw,-88,ND,0.0049,0.0049,1,None,,WKL,NA,SMC,6/11/2018 15:26,TRUE,801S02947,801,Lower Santa Ana,Urban,33.69919,-117.81143,801S02947_2011-07-12,2011,0.0094,0,PYR,0.46,0.046,RL too high,0,0,0.521276596,BAD RL,BAD RL
205,Cyfluthrin,SMC00873_2019,SMC00873,127045,5/10/2019,grab,sediment,1,1,EPA 8270D,Total,ug/g dw,-88,ND,0.00025,5.00E-04,1,None,,PEL,SMC_OCPW_2019,SMC,9/27/2019 15:44,FALSE,SMC00873,901,San Juan,Urban,33.59849,-117.62668,SMC00873_2019-05-10,2019,3.00E-04,0,PYR,0.46,0.046,RL too high,0,0,1.666666667,BAD RL,BAD RL
232,Cyfluthrin,901M14145_2019,901M14145,127788,6/27/2019,grab,sediment,1,1,EPA 8270D_NCI,Total,ug/g dw,-88,ND,0.00025,5.00E-04,1,None,,PEL,SMC_OCPW_2019,SMC,9/27/2019 15:44,FALSE,901M14145,901,San Juan,Urban,33.48818,-117.66682,901M14145_2019-06-27,2019,9.00E-04,0,PYR,0.46,0.046,RL too high,0,0,0.555555556,BAD RL,BAD RL
236,Cyfluthrin,903S02145_2011,903S02145,122520,8/3/2011,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,0.000163,0.00158,1,None,NA,DFG-WPCL,RWB9_SMC_2011,SWAMP,7/12/2012 0:00,TRUE,903S02145,903,Northern San Diego,Agricultural,33.269344,-117.031468,903S02145_2011-08-03,2011,0.0012,0,PYR,0.46,0.046,RL too high,0,0,1.316666667,BAD RL,BAD RL
240,Cyfluthrin,SMC14099_2013,SMC14099,31455,6/13/2013,grab,sediment,1,1,pyrethroids_Water GCMS-SIM,Total,ug/g dw,-88,ND,0.0035,0.0035,1,DF,M-02,WKL,NA,SMC,6/11/2018 15:26,TRUE,SMC14099,801,Lower Santa Ana,Urban,33.62772,-117.73558,SMC14099_2013-06-13,2013,0.00112,0,PYR,0.46,0.046,RL too high,0,0,3.125,BAD RL,BAD RL
263,Cypermethrin,SMC02206_2011,SMC02206,20086,7/19/2011,grab,sediment,1,1,pyrethroids_Water GCMS-SIM,Total,ug/g dw,-88,ND,0.0041,0.0041,1,None,,WKL,NA,SMC,6/11/2018 15:26,TRUE,SMC02206,801,Lower Santa Ana,Urban,33.87098,-117.85002,SMC02206_2011-07-19,2011,0.0033,0,PYR,0.49,0.049,RL too high,0,0,1.242424242,BAD RL,BAD RL
268,Cypermethrin,SMC00873_2019,SMC00873,127046,5/10/2019,grab,sediment,1,1,EPA 8270D,Total,ug/g dw,-88,ND,0.00025,5.00E-04,1,None,,PEL,SMC_OCPW_2019,SMC,9/27/2019 15:44,FALSE,SMC00873,901,San Juan,Urban,33.59849,-117.62668,SMC00873_2019-05-10,2019,3.00E-04,0,PYR,0.49,0.049,RL too high,0,0,1.666666667,BAD RL,BAD RL
269,Cypermethrin,403S34646_2013,403S34646,99797,6/25/2013,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,0.0243,DNQ,0.00597,0.0569,20,"BLM,D,PJM",NA,DFG-WPCL,RWB4_SMC_2013,SWAMP,4/7/2016 0:00,TRUE,403S34646,403,Santa Clara,Agricultural,34.42556,-118.56616,403S34646_2013-06-25,2013,0.0923,0.263271939,PYR,0.49,0.049,RL too high,0.537289672,5.372896721,0.616468039,BAD RL,BAD RL
277,Cypermethrin,901M14145_2019,901M14145,127789,6/27/2019,grab,sediment,1,1,EPA 8270D_NCI,Total,ug/g dw,-88,ND,0.00025,5.00E-04,1,None,,PEL,SMC_OCPW_2019,SMC,9/27/2019 15:44,FALSE,901M14145,901,San Juan,Urban,33.48818,-117.66682,901M14145_2019-06-27,2019,9.00E-04,0,PYR,0.49,0.049,RL too high,0,0,0.555555556,BAD RL,BAD RL
279,Cypermethrin,SMC01923_2011,SMC01923,20056,7/12/2011,grab,sediment,1,1,pyrethroids_Water GCMS-SIM,Total,ug/g dw,-88,ND,0.0035,0.0035,1,None,,WKL,NA,SMC,6/11/2018 15:26,TRUE,SMC01923,801,Lower Santa Ana,Urban,33.67221,-117.78872,SMC01923_2011-07-12,2011,0.0015,0,PYR,0.49,0.049,RL too high,0,0,2.333333333,BAD RL,BAD RL
281,Cypermethrin,903S02145_2011,903S02145,122522,8/3/2011,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,0.000166,0.00158,1,None,NA,DFG-WPCL,RWB9_SMC_2011,SWAMP,7/12/2012 0:00,TRUE,903S02145,903,Northern San Diego,Agricultural,33.269344,-117.031468,903S02145_2011-08-03,2011,0.0012,0,PYR,0.49,0.049,RL too high,0,0,1.316666667,BAD RL,BAD RL
289,Cypermethrin,SMC00206_2019,SMC00206,127231,6/4/2019,grab,sediment,1,1,EPA 8270D,Total,ug/g dw,-88,ND,0.00025,5.00E-04,1,None,,PEL,SMC_OCPW_2019,SMC,9/27/2019 15:44,FALSE,SMC00206,901,San Juan,Urban,33.54359,-117.65963,SMC00206_2019-06-04,2019,9.00E-04,0,PYR,0.49,0.049,RL too high,0,0,0.555555556,BAD RL,BAD RL
292,Cypermethrin,SMC14099_2013,SMC14099,31456,6/13/2013,grab,sediment,1,1,pyrethroids_Water GCMS-SIM,Total,ug/g dw,-88,ND,0.0035,0.0035,1,DF,M-02,WKL,NA,SMC,6/11/2018 15:26,TRUE,SMC14099,801,Lower Santa Ana,Urban,33.62772,-117.73558,SMC14099_2013-06-13,2013,0.00112,0,PYR,0.49,0.049,RL too high,0,0,3.125,BAD RL,BAD RL
304,Cypermethrin,SMC09091_2013,SMC09091,31715,6/27/2013,grab,sediment,1,1,pyrethroids_Water GCMS-SIM,Total,ug/g dw,-88,ND,0.0036,0.0036,1,None,,WKL,NA,SMC,6/11/2018 15:26,TRUE,SMC09091,801,Lower Santa Ana,Urban,33.71335,-117.79574,SMC09091_2013-06-27,2013,0.00505,0,PYR,0.49,0.049,RL too high,0,0,0.712871287,BAD RL,BAD RL
307,Cypermethrin,SMC13187_2013,SMC13187,31072,6/4/2013,grab,sediment,1,1,pyrethroids_Water GCMS-SIM,Total,ug/g dw,-88,ND,0.0032,0.0032,1,DF,M-02,WKL,NA,SMC,6/11/2018 15:26,TRUE,SMC13187,801,Lower Santa Ana,Urban,33.67808,-117.80245,SMC13187_2013-06-04,2013,0.00065,0,PYR,0.49,0.049,RL too high,0,0,4.923076923,BAD RL,BAD RL
322,Cypermethrin,801S02947_2011,SMC02947,20071,7/12/2011,grab,sediment,1,1,pyrethroids_Water GCMS-SIM,Total,ug/g dw,-88,ND,0.0049,0.0049,1,None,,WKL,NA,SMC,6/11/2018 15:26,TRUE,801S02947,801,Lower Santa Ana,Urban,33.69919,-117.81143,801S02947_2011-07-12,2011,0.0094,0,PYR,0.49,0.049,RL too high,0,0,0.521276596,BAD RL,BAD RL
325,Cypermethrin,SMC09118_2013,SMC09118,30730,5/22/2013,grab,sediment,1,1,pyrethroids_Water GCMS-SIM,Total,ug/g dw,-88,ND,0.0038,0.0038,1,DF,M-02,WKL,NA,SMC,6/11/2018 15:26,TRUE,SMC09118,801,Lower Santa Ana,Urban,33.80876,-117.86259,SMC09118_2013-05-22,2013,0.00474,0,PYR,0.49,0.049,RL too high,0,0,0.801687764,BAD RL,BAD RL
326,Cypermethrin,801M12649_2013,SMC14211,31084,6/4/2013,grab,sediment,1,1,pyrethroids_Water GCMS-SIM,Total,ug/g dw,-88,ND,0.0034,0.0034,1,DF,M-02,WKL,NA,SMC,6/11/2018 15:26,TRUE,801M12649,801,Lower Santa Ana,Urban,33.6894,-117.82174,801M12649_2013-06-04,2013,0.00235,0,PYR,0.49,0.049,RL too high,0,0,1.446808511,BAD RL,BAD RL
